ゲーム名,戦略系,パーティー系,招待秘匿系,経済・資源管理系,冒険・物語系,最少人数,最大人数
アーティチョーク,3,2,1,3,2,2,4
赤ずきんは眠らない,2,3,4,1,4,3,6
アルナック,4,2,1,4,5,1,4
ARME,3,2,2,3,3,4,4
異世界転生R,2,3,3,1,5,1,4
ito,2,3,1,1,1,2,10
ito(rainbow),2,3,1,1,1,2,10
一番裁判,3,2,4,1,3,3,10
インカの黄金,3,2,1,3,2,3,8
インサイダー,2,4,5,1,2,4,8
インフェルノ,3,2,3,2,4,3,7
ウミガメの島,2,3,1,2,2,2,7
ウィングスパン,5,2,1,3,2,1,5
エバーデール,4,2,1,5,4,1,4
EN-NICHI,2,4,1,2,2,2,4
エンリョのかたまり,2,4,2,1,1,2,6
おとりバト,2,4,3,1,2,2,6
お化けキャッチ,1,5,1,1,1,2,8
音速飯店,2,3,1,2,2,2,6
お邪魔者,2,3,4,1,2,3,10
ガイスター,3,1,4,1,1,2,2
海底探検,4,2,1,4,3,2,6
カタン,4,2,1,5,2,3,4
カタン宇宙編,4,2,1,5,3,3,4
カルカソンヌ,4,2,1,3,2,2,5
CAN CAN coming!,2,4,1,1,1,2,6
キャッシュ・ア・キャッチ,2,4,1,2,1,3,5
アイデンティティ,2,4,5,1,2,3,5
キャプテン・リノ,2,5,1,1,1,2,5
ギャンブルラビット,2,4,1,2,1,4,6
Canvas,3,3,1,2,3,1,5
クイズすごろくカブール,1,5,1,1,1,3,6
クイックショット,2,4,1,1,1,1,7
クラウンソード,4,2,2,3,4,1,4
CRUSH ICE GAME,2,4,1,1,1,2,4
Catch The Bomber,2,4,1,1,1,3,6
GRAY,3,2,2,2,3,2,4
刑法ポーカー,2,4,3,1,2,2,5
ゲスクラブ,2,4,1,1,1,2,8
ゲットスイートラブ,2,4,1,1,2,1,4
校長ゲーム,2,4,1,1,1,3,50
ゴーアウトガール,2,4,1,1,1,2,5
コードネーム,2,5,1,1,1,2,8
ごきぶりポーカー,1,5,4,1,1,2,6
ゴジラ,3,3,1,3,4,2,5
子猫爆発,1,5,1,1,1,2,5
プラネット,3,3,1,2,3,2,4
5本のキュウリ,1,4,1,1,1,2,6
コヨーテ,2,5,4,1,1,2,10
Mind Field,3,3,2,2,2,2,4
サメマゲドン,2,4,1,2,2,2,7
SECRET MISSION,2,4,5,1,2,2,5
ジャスト・ワン,1,5,1,1,1,3,7
シャドウレイダーズ,3,3,5,2,3,4,10
ロボファクトリー,4,2,1,4,3,2,4
シレット,3,2,2,2,2,3,6
ジパングリ,3,2,1,3,3,3,5
ジンクラフターズ,4,2,1,4,3,1,4
人狼,2,5,5,1,1,4,10
数律,4,2,1,2,2,1,6
スカイプロジェクト,4,2,1,4,2,2,4
scout！,3,3,2,2,3,3,5
SKULL,2,5,5,1,1,3,6
ストライク,2,4,1,1,1,2,5
スパイインザバー,2,5,5,1,2,4,9
スノープランナー,4,2,1,4,3,1,4
スマートフォン株式会社,3,3,1,3,2,1,5
そして深海魚は0になる,2,4,1,1,2,2,4
それはオレの魚だ！,2,4,1,2,2,2,4
Tiger & Dragon,3,3,2,2,2,2,5
タイムボム,2,4,5,1,2,2,8
ミッドナイトカクテル,2,4,1,2,1,2,6
タウンロクロク,3,2,1,3,2,1,4
タギロン,3,2,2,3,2,2,4
丁半酉帝,2,3,1,2,1,3,5
チャオチャオ,2,4,1,1,1,2,4
チャレンジャーズ!,3,3,2,2,2,1,8
罪ボドゲ,2,4,3,1,2,3,6
テストプレイなんてしてない,2,4,1,1,1,2,10
マジックジュエル,3,3,1,3,2,3,6
テラフォーミング・マーズ,5,2,1,5,3,1,5
テレクラフト,4,2,1,4,3,2,4
